problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
ibk1,random_search,lu,ls,check,hausdorff_a_to_b,5000,11,121,145,1.4142135623730951,0,0.0
ibk1,random_search,lu,ls,check,hausdorff_b_to_a,5000,11,121,145,1.4142135623730951,0,0.5855463449657674
ibk1,random_search,lu,ls,check,hausdorff_symmetric,5000,11,121,145,1.4142135623730951,0,0.5855463449657674
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,121,145,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,121,145,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap,5000,11,121,145,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,121,145,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,11,121,145,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,11,121,145,1.4142135623730951,0,0.8344827586206897
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,11,121,106,1.4142135623730951,,0.5490991802448951
ibk1,random_search,lu,cw,finding,hausdorff_b_to_a,5000,11,121,106,1.4142135623730951,,0.41875332012966965
ibk1,random_search,lu,cw,finding,hausdorff_symmetric,5000,11,121,106,1.4142135623730951,,0.5490991802448951
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,121,106,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,121,106,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,11,121,106,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,121,106,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,cross_a_under_b,5000,11,121,106,1.4142135623730951,,0.8016528925619835
ibk1,random_search,lu,cw,finding,cross_b_under_a,5000,11,121,106,1.4142135623730951,,0.9150943396226415
ibk1,random_search,ls,cw,check,hausdorff_a_to_b,5000,11,145,106,1.4142135623730951,0,0.7118965696444405
ibk1,random_search,ls,cw,check,hausdorff_b_to_a,5000,11,145,106,1.4142135623730951,0,0.0
ibk1,random_search,ls,cw,check,hausdorff_symmetric,5000,11,145,106,1.4142135623730951,0,0.7118965696444405
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,145,106,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,145,106,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,145,106,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,145,106,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,cross_a_under_b,5000,11,145,106,1.4142135623730951,0,0.7310344827586207
ibk1,random_search,ls,cw,check,cross_b_under_a,5000,11,145,106,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,hausdorff_a_to_b,5000,12,110,143,1.4142135623730951,0,0.0
ibk1,random_search,lu,ls,check,hausdorff_b_to_a,5000,12,110,143,1.4142135623730951,0,0.6904019007265568
ibk1,random_search,lu,ls,check,hausdorff_symmetric,5000,12,110,143,1.4142135623730951,0,0.6904019007265568
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,110,143,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,110,143,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap,5000,12,110,143,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,110,143,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,12,110,143,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,12,110,143,1.4142135623730951,0,0.7692307692307693
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,12,110,102,1.4142135623730951,,0.5062602899676502
ibk1,random_search,lu,cw,finding,hausdorff_b_to_a,5000,12,110,102,1.4142135623730951,,0.5616297988886582
ibk1,random_search,lu,cw,finding,hausdorff_symmetric,5000,12,110,102,1.4142135623730951,,0.5616297988886582
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,110,102,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,110,102,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,12,110,102,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,110,102,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,cross_a_under_b,5000,12,110,102,1.4142135623730951,,0.8454545454545455
ibk1,random_search,lu,cw,finding,cross_b_under_a,5000,12,110,102,1.4142135623730951,,0.9117647058823529
ibk1,random_search,ls,cw,check,hausdorff_a_to_b,5000,12,143,102,1.4142135623730951,0,0.6078513069969663
ibk1,random_search,ls,cw,check,hausdorff_b_to_a,5000,12,143,102,1.4142135623730951,0,0.0
ibk1,random_search,ls,cw,check,hausdorff_symmetric,5000,12,143,102,1.4142135623730951,0,0.6078513069969663
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,143,102,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,143,102,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,143,102,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,143,102,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,cross_a_under_b,5000,12,143,102,1.4142135623730951,0,0.7132867132867133
ibk1,random_search,ls,cw,check,cross_b_under_a,5000,12,143,102,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,hausdorff_a_to_b,5000,13,132,160,1.4142135623730951,0,0.0
ibk1,random_search,lu,ls,check,hausdorff_b_to_a,5000,13,132,160,1.4142135623730951,0,0.8385346155735813
ibk1,random_search,lu,ls,check,hausdorff_symmetric,5000,13,132,160,1.4142135623730951,0,0.8385346155735813
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,13,132,160,1.4142135623730951,0,0.825
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,13,132,122,1.4142135623730951,,0.7291326965638429
