problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,0.0,0.0,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,0.0,0.0,28.284271247461902,121,145,,0.8344827586206897
ibk1,random_search,lu,ls,check,overlap,5000,11,0.0,0.0,28.284271247461902,121,145,,0.9097744360902256
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.0,0.0,28.284271247461902,121,145,,0.8344827586206897
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.0,0.0,28.284271247461902,121,106,,0.8016528925619835
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.0,0.0,28.284271247461902,121,106,,0.9150943396226415
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.0,0.0,28.284271247461902,121,106,,0.8546255506607929
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.0,0.0,28.284271247461902,121,106,,0.7461538461538462
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.0,0.0,28.284271247461902,145,106,,0.7310344827586207
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.0,0.0,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,0.0,0.0,28.284271247461902,145,106,,0.8446215139442231
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,0.0,0.0,28.284271247461902,145,106,,0.7310344827586208
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,0.01,0.282842712474619,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,0.01,0.282842712474619,28.284271247461902,121,145,,0.9448275862068966
ibk1,random_search,lu,ls,check,overlap,5000,11,0.01,0.282842712474619,28.284271247461902,121,145,,0.9699248120300752
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.01,0.282842712474619,28.284271247461902,121,145,,0.9416058394160584
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.01,0.282842712474619,28.284271247461902,121,106,,0.9504132231404959
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.01,0.282842712474619,28.284271247461902,121,106,,0.9811320754716981
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.01,0.282842712474619,28.284271247461902,121,106,,0.9647577092511013
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.01,0.282842712474619,28.284271247461902,121,106,,0.9319148936170212
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.01,0.282842712474619,28.284271247461902,145,106,,0.9172413793103448
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.01,0.282842712474619,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,0.01,0.282842712474619,28.284271247461902,145,106,,0.952191235059761
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,0.01,0.282842712474619,28.284271247461902,145,106,,0.9087452471482891
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,0.02,0.565685424949238,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,0.02,0.565685424949238,28.284271247461902,121,145,,0.993103448275862
ibk1,random_search,lu,ls,check,overlap,5000,11,0.02,0.565685424949238,28.284271247461902,121,145,,0.9962406015037594
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.02,0.565685424949238,28.284271247461902,121,145,,0.9925093632958802
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.02,0.565685424949238,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.02,0.565685424949238,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.02,0.565685424949238,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.02,0.565685424949238,28.284271247461902,121,106,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.02,0.565685424949238,28.284271247461902,145,106,,0.993103448275862
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.02,0.565685424949238,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,0.02,0.565685424949238,28.284271247461902,145,106,,0.9960159362549801
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,0.02,0.565685424949238,28.284271247461902,145,106,,0.9920634920634921
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,0.05,1.4142135623730951,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,0.05,1.4142135623730951,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,11,0.05,1.4142135623730951,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.05,1.4142135623730951,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.05,1.4142135623730951,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.05,1.4142135623730951,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.05,1.4142135623730951,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.05,1.4142135623730951,28.284271247461902,121,106,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.05,1.4142135623730951,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.05,1.4142135623730951,28.284271247461902,145,106,,1.0
