problem,solver,phi,n_evals,n_seeds,seeds_with_a_dominator,cardinality,median,q1,q3,iqr,widest_margin_over_seeds
ibk1,mopso,cw,5000,5,5,162,12.0,12.0,14.0,2.0,0.2681298270971415
ibk1,mopso,cw,20000,5,5,200,12.0,11.0,13.0,2.0,0.2657164746401872
ibk1,mopso,ls,5000,5,5,200,11.0,11.0,12.0,1.0,0.2509245783233425
ibk1,mopso,ls,20000,5,5,187,11.0,11.0,13.0,2.0,0.26995675427216526
ibk1,mopso,lu,5000,5,5,200,15.0,13.0,16.0,3.0,0.2645781118305168
ibk1,mopso,lu,20000,5,5,200,13.0,13.0,15.0,2.0,0.26510271023962173
ibk1,nsga2,cw,5000,5,5,100,6.0,6.0,7.0,1.0,0.2672419054688755
ibk1,nsga2,cw,20000,5,5,100,5.0,5.0,7.0,2.0,0.25297475851809303
ibk1,nsga2,ls,5000,5,5,100,6.0,6.0,7.0,1.0,0.2426513378554367
ibk1,nsga2,ls,20000,5,5,100,4.0,4.0,4.0,0.0,0.24699813854276664
ibk1,nsga2,lu,5000,5,5,100,5.0,4.0,5.0,1.0,0.2634970770083154
ibk1,nsga2,lu,20000,5,5,100,7.0,6.0,8.0,2.0,0.26372332460944836
ibk1,random_search,cw,5000,5,5,106,8.0,8.0,9.0,1.0,0.2564834088398651
ibk1,random_search,cw,20000,5,5,340,27.0,26.0,38.0,12.0,0.2696260926903262
ibk1,random_search,ls,5000,5,5,145,11.0,10.0,12.0,2.0,0.2564834088398651
ibk1,random_search,ls,20000,5,5,465,40.0,36.0,46.0,10.0,0.2696260926903262
ibk1,random_search,lu,5000,5,5,121,10.0,8.0,10.0,2.0,0.2564834088398651
ibk1,random_search,lu,20000,5,5,380,31.0,30.0,39.0,9.0,0.2696260926903262
