quantity,phi_a,phi_b,value
band_lower,lu,,0.6666666666666666
band_lower,ls,,0.5
band_lower,cw,,0.75
band_upper,lu,,1.6666666666666667
band_upper,ls,,2.0
band_upper,cw,,1.5
area,lu,,3.790331555713716
area,ls,,5.685281944005471
area,cw,,2.875612048241072
intersection_area,lu,ls,3.790331555713716
coverage_a_in_b,lu,ls,1.0
coverage_b_in_a,lu,ls,0.6666919236450921
overlap_d2_convention,lu,ls,0.8000181847488911
overlap_union_share,lu,ls,0.6666919236450919
intersection_area,lu,cw,2.875612048241072
coverage_a_in_b,lu,cw,0.7586703184069069
coverage_b_in_a,lu,cw,1.0
overlap_d2_convention,lu,cw,0.8627771907746179
overlap_union_share,lu,cw,0.7586703184069069
intersection_area,ls,cw,2.875612048241072
coverage_a_in_b,ls,cw,0.5057993739911353
coverage_b_in_a,ls,cw,1.0
overlap_d2_convention,ls,cw,0.6718018120176387
overlap_union_share,ls,cw,0.5057993739911354
