problem,phi,solver,metric,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
ibk1,lu,random_search,spread,5000,11,100,121,1000,False,24.3317738591943
ibk1,lu,random_search,igd,5000,11,100,121,1000,False,0.20831531013912583
ibk1,lu,random_search,hypervolume,5000,11,100,121,1000,False,7486.912703267251
ibk1,lu,random_search,spread,5000,12,100,110,1000,False,24.27276338772496
ibk1,lu,random_search,igd,5000,12,100,110,1000,False,0.18488689054420365
ibk1,lu,random_search,hypervolume,5000,12,100,110,1000,False,7513.9106506548815
ibk1,lu,random_search,spread,5000,13,100,132,1000,False,25.383613081955207
ibk1,lu,random_search,igd,5000,13,100,132,1000,False,0.18958776988173026
ibk1,lu,random_search,hypervolume,5000,13,100,132,1000,False,7523.062256645325
ibk1,lu,random_search,spread,5000,14,100,119,1000,False,24.66223425660321
ibk1,lu,random_search,igd,5000,14,100,119,1000,False,0.21633647070069706
ibk1,lu,random_search,hypervolume,5000,14,100,119,1000,False,7491.663210896857
ibk1,lu,random_search,spread,5000,15,100,151,1000,False,24.33902827482624
ibk1,lu,random_search,igd,5000,15,100,151,1000,False,0.18387912812111393
ibk1,lu,random_search,hypervolume,5000,15,100,151,1000,False,7510.767532184436
ibk1,lu,random_search,spread,20000,11,100,413,1000,False,23.128153298023943
ibk1,lu,random_search,igd,20000,11,100,413,1000,False,0.19760920402087676
ibk1,lu,random_search,hypervolume,20000,11,100,413,1000,False,7516.328688224139
ibk1,lu,random_search,spread,20000,12,100,380,1000,False,23.227671344538198
ibk1,lu,random_search,igd,20000,12,100,380,1000,False,0.18234373210788243
ibk1,lu,random_search,hypervolume,20000,12,100,380,1000,False,7524.547469723606
ibk1,lu,random_search,spread,20000,13,100,370,1000,False,23.808179315420162
ibk1,lu,random_search,igd,20000,13,100,370,1000,False,0.1729206311053417
ibk1,lu,random_search,hypervolume,20000,13,100,370,1000,False,7530.976490740533
ibk1,lu,random_search,spread,20000,14,100,374,1000,False,23.14026097386731
ibk1,lu,random_search,igd,20000,14,100,374,1000,False,0.20921343365449102
ibk1,lu,random_search,hypervolume,20000,14,100,374,1000,False,7516.124859158714
ibk1,lu,random_search,spread,20000,15,100,425,1000,False,23.517592518690556
ibk1,lu,random_search,igd,20000,15,100,425,1000,False,0.1742587898387899
ibk1,lu,random_search,hypervolume,20000,15,100,425,1000,False,7541.649848899409
ibk1,lu,nsga2,spread,5000,11,100,100,1000,False,24.746281740420716
ibk1,lu,nsga2,igd,5000,11,100,100,1000,False,0.1360293641703143
ibk1,lu,nsga2,hypervolume,5000,11,100,100,1000,False,7546.5191905472375
ibk1,lu,nsga2,spread,5000,12,100,100,1000,False,24.509408116338985
ibk1,lu,nsga2,igd,5000,12,100,100,1000,False,0.15414538841029526
ibk1,lu,nsga2,hypervolume,5000,12,100,100,1000,False,7524.974119433788
ibk1,lu,nsga2,spread,5000,13,100,100,1000,False,24.61576589066504
ibk1,lu,nsga2,igd,5000,13,100,100,1000,False,0.16057056022607996
ibk1,lu,nsga2,hypervolume,5000,13,100,100,1000,False,7520.848663931285
ibk1,lu,nsga2,spread,5000,14,100,100,1000,False,24.593405344805223
ibk1,lu,nsga2,igd,5000,14,100,100,1000,False,0.16141452031410652
ibk1,lu,nsga2,hypervolume,5000,14,100,100,1000,False,7526.172563702015
ibk1,lu,nsga2,spread,5000,15,100,100,1000,False,24.60291417219792
ibk1,lu,nsga2,igd,5000,15,100,100,1000,False,0.16210890805300138
ibk1,lu,nsga2,hypervolume,5000,15,100,100,1000,False,7516.989369848413
ibk1,lu,nsga2,spread,20000,11,100,100,1000,False,24.614097183634346
ibk1,lu,nsga2,igd,20000,11,100,100,1000,False,0.16114341235353855
ibk1,lu,nsga2,hypervolume,20000,11,100,100,1000,False,7515.827268411573
ibk1,lu,nsga2,spread,20000,12,100,100,1000,False,24.62646416745312
ibk1,lu,nsga2,igd,20000,12,100,100,1000,False,0.14594276067319648
ibk1,lu,nsga2,hypervolume,20000,12,100,100,1000,False,7539.74531606623
ibk1,lu,nsga2,spread,20000,13,100,100,1000,False,24.609204008630552
ibk1,lu,nsga2,igd,20000,13,100,100,1000,False,0.1413911377751392
ibk1,lu,nsga2,hypervolume,20000,13,100,100,1000,False,7533.474002528754
ibk1,lu,nsga2,spread,20000,14,100,100,1000,False,24.63148210548368
ibk1,lu,nsga2,igd,20000,14,100,100,1000,False,0.1520173476628524
ibk1,lu,nsga2,hypervolume,20000,14,100,100,1000,False,7528.528694088981
ibk1,lu,nsga2,spread,20000,15,100,100,1000,False,24.614156564865894
ibk1,lu,nsga2,igd,20000,15,100,100,1000,False,0.15919752578435972
ibk1,lu,nsga2,hypervolume,20000,15,100,100,1000,False,7527.227118269119
ibk1,lu,mopso,spread,5000,11,100,200,1000,False,24.311722172771915
ibk1,lu,mopso,igd,5000,11,100,200,1000,False,0.16597351235465785
ibk1,lu,mopso,hypervolume,5000,11,100,200,1000,False,7537.569215402731
ibk1,lu,mopso,spread,5000,12,100,165,1000,False,24.16307456776674
ibk1,lu,mopso,igd,5000,12,100,165,1000,False,0.184411303378219
ibk1,lu,mopso,hypervolume,5000,12,100,165,1000,False,7506.989510924885
ibk1,lu,mopso,spread,5000,13,100,200,1000,False,24.30850269749724
ibk1,lu,mopso,igd,5000,13,100,200,1000,False,0.1965512817964806
ibk1,lu,mopso,hypervolume,5000,13,100,200,1000,False,7524.195870396396
ibk1,lu,mopso,spread,5000,14,100,200,1000,False,21.997397759257844
ibk1,lu,mopso,igd,5000,14,100,200,1000,False,0.20846543675373772
ibk1,lu,mopso,hypervolume,5000,14,100,200,1000,False,7535.989182059938
ibk1,lu,mopso,spread,5000,15,100,200,1000,False,23.259496085117007
ibk1,lu,mopso,igd,5000,15,100,200,1000,False,0.17748469067819928
ibk1,lu,mopso,hypervolume,5000,15,100,200,1000,False,7541.944244001492
ibk1,lu,mopso,spread,20000,11,100,200,1000,False,23.373791413004973
ibk1,lu,mopso,igd,20000,11,100,200,1000,False,0.1727192392393095
ibk1,lu,mopso,hypervolume,20000,11,100,200,1000,False,7535.379375698529
ibk1,lu,mopso,spread,20000,12,100,200,1000,False,24.36072804745536
ibk1,lu,mopso,igd,20000,12,100,200,1000,False,0.18632410163330282
ibk1,lu,mopso,hypervolume,20000,12,100,200,1000,False,7526.705412171453
ibk1,lu,mopso,spread,20000,13,100,162,1000,False,24.559537324349346
ibk1,lu,mopso,igd,20000,13,100,162,1000,False,0.20104788513156846
ibk1,lu,mopso,hypervolume,20000,13,100,162,1000,False,7512.382807607146
ibk1,lu,mopso,spread,20000,14,100,157,1000,False,25.03047089862505
ibk1,lu,mopso,igd,20000,14,100,157,1000,False,0.18404797617862484
ibk1,lu,mopso,hypervolume,20000,14,100,157,1000,False,7521.076411883409
ibk1,lu,mopso,spread,20000,15,100,200,1000,False,22.295394254591308
ibk1,lu,mopso,igd,20000,15,100,200,1000,False,0.18194062616975185
ibk1,lu,mopso,hypervolume,20000,15,100,200,1000,False,7531.001118281988
