problem,solver,phi,n_evals,n_runs,file
ibk1,mopso,cw,5000,5,ibk1_mopso_cw_5000.npz
ibk1,mopso,cw,20000,5,ibk1_mopso_cw_20000.npz
ibk1,mopso,ls,5000,5,ibk1_mopso_ls_5000.npz
ibk1,mopso,ls,20000,5,ibk1_mopso_ls_20000.npz
ibk1,mopso,lu,5000,5,ibk1_mopso_lu_5000.npz
ibk1,mopso,lu,20000,5,ibk1_mopso_lu_20000.npz
ibk1,nsga2,cw,5000,5,ibk1_nsga2_cw_5000.npz
ibk1,nsga2,cw,20000,5,ibk1_nsga2_cw_20000.npz
ibk1,nsga2,ls,5000,5,ibk1_nsga2_ls_5000.npz
ibk1,nsga2,ls,20000,5,ibk1_nsga2_ls_20000.npz
ibk1,nsga2,lu,5000,5,ibk1_nsga2_lu_5000.npz
ibk1,nsga2,lu,20000,5,ibk1_nsga2_lu_20000.npz
ibk1,random_search,cw,5000,5,ibk1_random_search_cw_5000.npz
ibk1,random_search,cw,20000,5,ibk1_random_search_cw_20000.npz
ibk1,random_search,ls,5000,5,ibk1_random_search_ls_5000.npz
ibk1,random_search,ls,20000,5,ibk1_random_search_ls_20000.npz
ibk1,random_search,lu,5000,5,ibk1_random_search_lu_5000.npz
ibk1,random_search,lu,20000,5,ibk1_random_search_lu_20000.npz
