problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
p0,random_search,lu,ls,check,hausdorff_a_to_b,5000,11,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_b_to_a,5000,11,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_symmetric,5000,11,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,coverage_a_in_b,5000,11,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,coverage_b_in_a,5000,11,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,overlap,5000,11,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_a_under_b,5000,11,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_b_under_a,5000,11,5000,5000,0.1,0,1.0
p0,random_search,lu,cw,finding,hausdorff_a_to_b,5000,11,5000,1,0.1,,0.9997313420529264
p0,random_search,lu,cw,finding,hausdorff_b_to_a,5000,11,5000,1,0.1,,0.0
p0,random_search,lu,cw,finding,hausdorff_symmetric,5000,11,5000,1,0.1,,0.9997313420529264
p0,random_search,lu,cw,finding,coverage_a_in_b,5000,11,5000,1,0.1,,0.0976
p0,random_search,lu,cw,finding,coverage_b_in_a,5000,11,5000,1,0.1,,1.0
p0,random_search,lu,cw,finding,overlap,5000,11,5000,1,0.1,,0.09778044391121776
p0,random_search,lu,cw,finding,cross_a_under_b,5000,11,5000,1,0.1,,0.0002
p0,random_search,lu,cw,finding,cross_b_under_a,5000,11,5000,1,0.1,,1.0
p0,random_search,ls,cw,check,hausdorff_a_to_b,5000,11,5000,1,0.1,0,0.9997313420529264
p0,random_search,ls,cw,check,hausdorff_b_to_a,5000,11,5000,1,0.1,0,0.0
p0,random_search,ls,cw,check,hausdorff_symmetric,5000,11,5000,1,0.1,0,0.9997313420529264
p0,random_search,ls,cw,check,coverage_a_in_b,5000,11,5000,1,0.1,0,0.0976
p0,random_search,ls,cw,check,coverage_b_in_a,5000,11,5000,1,0.1,0,1.0
p0,random_search,ls,cw,check,overlap,5000,11,5000,1,0.1,0,0.09778044391121776
p0,random_search,ls,cw,check,cross_a_under_b,5000,11,5000,1,0.1,0,0.0002
p0,random_search,ls,cw,check,cross_b_under_a,5000,11,5000,1,0.1,0,1.0
p0,random_search,lu,ls,check,hausdorff_a_to_b,5000,12,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_b_to_a,5000,12,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_symmetric,5000,12,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,coverage_a_in_b,5000,12,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,coverage_b_in_a,5000,12,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,overlap,5000,12,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_a_under_b,5000,12,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_b_under_a,5000,12,5000,5000,0.1,0,1.0
p0,random_search,lu,cw,finding,hausdorff_a_to_b,5000,12,5000,1,0.1,,0.9997663629196343
p0,random_search,lu,cw,finding,hausdorff_b_to_a,5000,12,5000,1,0.1,,0.0
p0,random_search,lu,cw,finding,hausdorff_symmetric,5000,12,5000,1,0.1,,0.9997663629196343
p0,random_search,lu,cw,finding,coverage_a_in_b,5000,12,5000,1,0.1,,0.104
p0,random_search,lu,cw,finding,coverage_b_in_a,5000,12,5000,1,0.1,,1.0
p0,random_search,lu,cw,finding,overlap,5000,12,5000,1,0.1,,0.10417916416716656
p0,random_search,lu,cw,finding,cross_a_under_b,5000,12,5000,1,0.1,,0.0002
p0,random_search,lu,cw,finding,cross_b_under_a,5000,12,5000,1,0.1,,1.0
p0,random_search,ls,cw,check,hausdorff_a_to_b,5000,12,5000,1,0.1,0,0.9997663629196343
p0,random_search,ls,cw,check,hausdorff_b_to_a,5000,12,5000,1,0.1,0,0.0
p0,random_search,ls,cw,check,hausdorff_symmetric,5000,12,5000,1,0.1,0,0.9997663629196343
p0,random_search,ls,cw,check,coverage_a_in_b,5000,12,5000,1,0.1,0,0.104
p0,random_search,ls,cw,check,coverage_b_in_a,5000,12,5000,1,0.1,0,1.0
p0,random_search,ls,cw,check,overlap,5000,12,5000,1,0.1,0,0.10417916416716656
p0,random_search,ls,cw,check,cross_a_under_b,5000,12,5000,1,0.1,0,0.0002
p0,random_search,ls,cw,check,cross_b_under_a,5000,12,5000,1,0.1,0,1.0
p0,random_search,lu,ls,check,hausdorff_a_to_b,5000,13,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_b_to_a,5000,13,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,hausdorff_symmetric,5000,13,5000,5000,0.1,0,0.0
p0,random_search,lu,ls,check,coverage_a_in_b,5000,13,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,coverage_b_in_a,5000,13,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,overlap,5000,13,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_a_under_b,5000,13,5000,5000,0.1,0,1.0
p0,random_search,lu,ls,check,cross_b_under_a,5000,13,5000,5000,0.1,0,1.0
p0,random_search,lu,cw,finding,hausdorff_a_to_b,5000,13,5000,1,0.1,,0.9999275753706607
p0,random_search,lu,cw,finding,hausdorff_b_to_a,5000,13,5000,1,0.1,,0.0
p0,random_search,lu,cw,finding,hausdorff_symmetric,5000,13,5000,1,0.1,,0.9999275753706607
p0,random_search,lu,cw,finding,coverage_a_in_b,5000,13,5000,1,0.1,,0.104
p0,random_search,lu,cw,finding,coverage_b_in_a,5000,13,5000,1,0.1,,1.0
p0,random_search,lu,cw,finding,overlap,5000,13,5000,1,0.1,,0.10417916416716656
p0,random_search,lu,cw,finding,cross_a_under_b,5000,13,5000,1,0.1,,0.0002
p0,random_search,lu,cw,finding,cross_b_under_a,5000,13,5000,1,0.1,,1.0
