problem,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
p0,lu,ls,check,coverage_a_in_b,5000,11,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,11,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,11,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,11,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,11,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,11,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,11,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,11,0.2,0.4,2.0,5000,5000,1.0
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.01,0.02,2.0,5000,1,0.0176
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.01,0.02,2.0,5000,1,0.01779644071185763
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.02,0.04,2.0,5000,1,0.037
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.02,0.04,2.0,5000,1,0.03719256148770246
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.05,0.1,2.0,5000,1,0.0976
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.05,0.1,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.05,0.1,2.0,5000,1,0.09778044391121776
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.1,0.2,2.0,5000,1,0.201
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.1,0.2,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.1,0.2,2.0,5000,1,0.2011597680463907
p0,lu,cw,finding,coverage_a_in_b,5000,11,0.2,0.4,2.0,5000,1,0.4078
p0,lu,cw,finding,coverage_b_in_a,5000,11,0.2,0.4,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,11,0.2,0.4,2.0,5000,1,0.40791841631673664
p0,ls,cw,check,coverage_a_in_b,5000,11,0.0,0.0,2.0,5000,1,0.0002
p0,ls,cw,check,coverage_b_in_a,5000,11,0.0,0.0,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,ls,cw,check,coverage_a_in_b,5000,11,0.01,0.02,2.0,5000,1,0.0176
p0,ls,cw,check,coverage_b_in_a,5000,11,0.01,0.02,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.01,0.02,2.0,5000,1,0.01779644071185763
p0,ls,cw,check,coverage_a_in_b,5000,11,0.02,0.04,2.0,5000,1,0.037
p0,ls,cw,check,coverage_b_in_a,5000,11,0.02,0.04,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.02,0.04,2.0,5000,1,0.03719256148770246
p0,ls,cw,check,coverage_a_in_b,5000,11,0.05,0.1,2.0,5000,1,0.0976
p0,ls,cw,check,coverage_b_in_a,5000,11,0.05,0.1,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.05,0.1,2.0,5000,1,0.09778044391121776
p0,ls,cw,check,coverage_a_in_b,5000,11,0.1,0.2,2.0,5000,1,0.201
p0,ls,cw,check,coverage_b_in_a,5000,11,0.1,0.2,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.1,0.2,2.0,5000,1,0.2011597680463907
p0,ls,cw,check,coverage_a_in_b,5000,11,0.2,0.4,2.0,5000,1,0.4078
p0,ls,cw,check,coverage_b_in_a,5000,11,0.2,0.4,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,11,0.2,0.4,2.0,5000,1,0.40791841631673664
p0,lu,ls,check,coverage_a_in_b,5000,12,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.01,0.02,2.0,5000,1,0.0208
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.01,0.02,2.0,5000,1,0.020995800839832032
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.02,0.04,2.0,5000,1,0.0428
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.02,0.04,2.0,5000,1,0.04299140171965607
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.05,0.1,2.0,5000,1,0.104
