quantity,phi_a,phi_b,value
area,lu,,0.3105328073724667
area,ls,,1.5134007879012508
area,cw,,1.0
intersection_area,lu,ls,0.3105328073724667
coverage_a_in_b,lu,ls,1.0
coverage_b_in_a,lu,ls,0.20518874435311113
overlap_d2_convention,lu,ls,0.3405088959128088
overlap_union_share,lu,ls,0.20518874435311113
intersection_area,lu,cw,0.12257050684365489
coverage_a_in_b,lu,cw,0.39471032990288346
coverage_b_in_a,lu,cw,0.12257050684365489
overlap_d2_convention,lu,cw,0.18705446541151582
overlap_union_share,lu,cw,0.10317710148638018
intersection_area,ls,cw,1.0
coverage_a_in_b,ls,cw,0.6607634989980261
coverage_b_in_a,ls,cw,1.0
overlap_d2_convention,ls,cw,0.7957346116971847
overlap_union_share,ls,cw,0.6607634989980261
