problem,phi_a,phi_b,status,metric,n_evals,delta,box_scale,exact,measured_median,measured_q1,measured_q3,error
p1,lu,ls,check,coverage_a_in_b,5000,0.0,2.8284271247461903,1.0,1.0,1.0,1.0,0.0
p1,lu,ls,check,coverage_a_in_b,5000,0.14142135623730953,2.8284271247461903,1.0,1.0,1.0,1.0,0.0
p1,lu,ls,check,coverage_b_in_a,5000,0.0,2.8284271247461903,0.20518874435311113,0.2747747747747748,0.2669703872437358,0.2760763426542388,0.06958603042166367
p1,lu,ls,check,coverage_b_in_a,5000,0.14142135623730953,2.8284271247461903,0.20518874435311113,0.3927927927927928,0.39134396355353074,0.3932534398579672,0.18760404843968165
p1,lu,ls,check,overlap,5000,0.0,2.8284271247461903,0.3405088959128088,0.43109540636042404,0.42143113987774183,0.43269565217391304,0.09058651044761523
p1,lu,ls,check,overlap,5000,0.14142135623730953,2.8284271247461903,0.3405088959128088,0.5236749116607774,0.5195972671700827,0.5245217391304348,0.1831660157479686
p1,lu,cw,finding,coverage_a_in_b,5000,0.0,2.8284271247461903,0.39471032990288346,0.5559322033898305,0.545016077170418,0.5608552631578947,0.16122187348694705
p1,lu,cw,finding,coverage_a_in_b,5000,0.14142135623730953,2.8284271247461903,0.39471032990288346,0.9305084745762712,0.9232081911262798,0.9391447368421053,0.5357981446733877
p1,lu,cw,finding,coverage_b_in_a,5000,0.0,2.8284271247461903,0.12257050684365489,0.2218586387434555,0.20652898067954698,0.22279792746113988,0.0992881318998006
p1,lu,cw,finding,coverage_b_in_a,5000,0.14142135623730953,2.8284271247461903,0.12257050684365489,0.34520725388601037,0.3448952879581152,0.3504330446369087,0.22263674704235548
p1,lu,cw,finding,overlap,5000,0.0,2.8284271247461903,0.18705446541151582,0.31534883720930235,0.30077945896377806,0.31940575673166205,0.12829437179778652
p1,lu,cw,finding,overlap,5000,0.14142135623730953,2.8284271247461903,0.18705446541151582,0.51126018207954,0.5023255813953489,0.5162488393686165,0.3242057166680242
p1,ls,cw,check,coverage_a_in_b,5000,0.0,2.8284271247461903,0.6607634989980261,0.689275893675527,0.6838268792710707,0.6954954954954955,0.028512394677500885
p1,ls,cw,check,coverage_a_in_b,5000,0.14142135623730953,2.8284271247461903,0.6607634989980261,0.8847517730496454,0.8828828828828829,0.8952164009111617,0.22398827405161925
p1,ls,cw,check,coverage_b_in_a,5000,0.0,2.8284271247461903,1.0,1.0,1.0,1.0,0.0
p1,ls,cw,check,coverage_b_in_a,5000,0.14142135623730953,2.8284271247461903,1.0,1.0,1.0,1.0,0.0
p1,ls,cw,check,overlap,5000,0.0,2.8284271247461903,0.7957346116971847,0.8160607704829083,0.8122294372294372,0.820403825717322,0.020326158785723525
p1,ls,cw,check,overlap,5000,0.14142135623730953,2.8284271247461903,0.7957346116971847,0.9324148687288797,0.9309245483528161,0.9377705627705628,0.13668025703169495
