problem,phi,solver,metric,n_evals,seed,cardinality,reference_size,include_singular_segments,value
p0,lu,random_search,spread,5000,11,5000,0,False,1.730917089469919
p0,lu,random_search,spread,5000,12,5000,0,False,1.7316736249378595
p0,lu,random_search,spread,5000,13,5000,0,False,1.731599205196488
p0,lu,random_search,spread,5000,14,5000,0,False,1.7317596142264302
p0,lu,random_search,spread,5000,15,5000,0,False,1.7315434795633209
p0,lu,random_search,spread,20000,11,20000,0,False,1.7317519738880547
p0,lu,random_search,spread,20000,12,20000,0,False,1.7320426557728306
p0,lu,random_search,spread,20000,13,20000,0,False,1.7319273604459384
p0,lu,random_search,spread,20000,14,20000,0,False,1.7319591062186988
p0,lu,random_search,spread,20000,15,20000,0,False,1.731900545242374
p0,lu,nsga2,spread,5000,11,100,0,False,1.7318568727563024
p0,lu,nsga2,spread,5000,12,100,0,False,1.73176476997327
p0,lu,nsga2,spread,5000,13,100,0,False,1.7316768735495238
p0,lu,nsga2,spread,5000,14,100,0,False,1.7317279734576154
p0,lu,nsga2,spread,5000,15,100,0,False,1.7317248257412547
p0,lu,nsga2,spread,20000,11,100,0,False,1.7320052714948733
p0,lu,nsga2,spread,20000,12,100,0,False,1.7319681429554774
p0,lu,nsga2,spread,20000,13,100,0,False,1.731986909093023
p0,lu,nsga2,spread,20000,14,100,0,False,1.7319647274882597
p0,lu,nsga2,spread,20000,15,100,0,False,1.7320489945092084
p0,lu,mopso,spread,5000,11,200,0,False,1.7320508075688772
p0,lu,mopso,spread,5000,12,200,0,False,1.7320508075688772
p0,lu,mopso,spread,5000,13,200,0,False,1.7320508075688772
p0,lu,mopso,spread,5000,14,200,0,False,1.7320508075688772
p0,lu,mopso,spread,5000,15,200,0,False,1.7320508075688772
p0,lu,mopso,spread,20000,11,200,0,False,1.7320508075688772
p0,lu,mopso,spread,20000,12,200,0,False,1.7320508075688772
p0,lu,mopso,spread,20000,13,200,0,False,1.7320508075688772
p0,lu,mopso,spread,20000,14,200,0,False,1.7320508075688772
p0,lu,mopso,spread,20000,15,200,0,False,1.7320508075688772
p0,ls,random_search,spread,5000,11,5000,0,False,2.447951923069815
p0,ls,random_search,spread,5000,12,5000,0,False,2.448936888648233
p0,ls,random_search,spread,5000,13,5000,0,False,2.448737592819348
p0,ls,random_search,spread,5000,14,5000,0,False,2.4489822345326555
p0,ls,random_search,spread,5000,15,5000,0,False,2.4486349969333503
p0,ls,random_search,spread,20000,11,20000,0,False,2.4490029155389723
p0,ls,random_search,spread,20000,12,20000,0,False,2.44947796620355
p0,ls,random_search,spread,20000,13,20000,0,False,2.4493176475298712
p0,ls,random_search,spread,20000,14,20000,0,False,2.4493348660047327
p0,ls,random_search,spread,20000,15,20000,0,False,2.449266143124056
p0,ls,nsga2,spread,5000,11,100,0,False,2.44914692370666
p0,ls,nsga2,spread,5000,12,100,0,False,2.4489841221335444
p0,ls,nsga2,spread,5000,13,100,0,False,2.44882876097052
p0,ls,nsga2,spread,5000,14,100,0,False,2.4489190835611097
p0,ls,nsga2,spread,5000,15,100,0,False,2.448913613942354
p0,ls,nsga2,spread,20000,11,100,0,False,2.4494092463041786
p0,ls,nsga2,spread,20000,12,100,0,False,2.449343613278079
p0,ls,nsga2,spread,20000,13,100,0,False,2.4493767865235547
p0,ls,nsga2,spread,20000,14,100,0,False,2.4493375757191744
p0,ls,nsga2,spread,20000,15,100,0,False,2.449486537717302
p0,ls,mopso,spread,5000,11,200,0,False,2.449489742783178
p0,ls,mopso,spread,5000,12,200,0,False,2.449489742783178
p0,ls,mopso,spread,5000,13,200,0,False,2.449489742783178
p0,ls,mopso,spread,5000,14,200,0,False,2.449489742783178
p0,ls,mopso,spread,5000,15,200,0,False,2.449489742783178
p0,ls,mopso,spread,20000,11,200,0,False,2.449489742783178
p0,ls,mopso,spread,20000,12,200,0,False,2.449489742783178
p0,ls,mopso,spread,20000,13,200,0,False,2.449489742783178
p0,ls,mopso,spread,20000,14,200,0,False,2.449489742783178
p0,ls,mopso,spread,20000,15,200,0,False,2.449489742783178
p0,cw,random_search,spread,5000,11,1,0,False,0.0
p0,cw,random_search,spread,5000,12,1,0,False,0.0
p0,cw,random_search,spread,5000,13,1,0,False,0.0
p0,cw,random_search,spread,5000,14,1,0,False,0.0
p0,cw,random_search,spread,5000,15,1,0,False,0.0
p0,cw,random_search,spread,20000,11,1,0,False,0.0
p0,cw,random_search,spread,20000,12,1,0,False,0.0
p0,cw,random_search,spread,20000,13,1,0,False,0.0
p0,cw,random_search,spread,20000,14,1,0,False,0.0
p0,cw,random_search,spread,20000,15,1,0,False,0.0
p0,cw,nsga2,spread,5000,11,1,0,False,0.0
p0,cw,nsga2,spread,5000,12,1,0,False,0.0
p0,cw,nsga2,spread,5000,13,1,0,False,0.0
p0,cw,nsga2,spread,5000,14,1,0,False,0.0
p0,cw,nsga2,spread,5000,15,1,0,False,0.0
p0,cw,nsga2,spread,20000,11,1,0,False,0.0
p0,cw,nsga2,spread,20000,12,1,0,False,0.0
p0,cw,nsga2,spread,20000,13,1,0,False,0.0
p0,cw,nsga2,spread,20000,14,1,0,False,0.0
p0,cw,nsga2,spread,20000,15,1,0,False,0.0
p0,cw,mopso,spread,5000,11,1,0,False,0.0
p0,cw,mopso,spread,5000,12,1,0,False,0.0
p0,cw,mopso,spread,5000,13,1,0,False,0.0
p0,cw,mopso,spread,5000,14,1,0,False,0.0
p0,cw,mopso,spread,5000,15,1,0,False,0.0
p0,cw,mopso,spread,20000,11,1,0,False,0.0
p0,cw,mopso,spread,20000,12,1,0,False,0.0
p0,cw,mopso,spread,20000,13,1,0,False,0.0
p0,cw,mopso,spread,20000,14,1,0,False,0.0
p0,cw,mopso,spread,20000,15,1,0,False,0.0
p1,lu,random_search,spread,5000,11,610,0,False,3.132501516857559
p1,lu,random_search,hypervolume,5000,11,610,0,False,7.931096769071083
p1,lu,random_search,igd,5000,11,610,1000,False,0.019643074660599405
p1,lu,random_search,igd,5000,11,610,1000,True,0.019643074660599405
p1,lu,random_search,spread,5000,12,622,0,False,3.1931253619420037
p1,lu,random_search,hypervolume,5000,12,622,0,False,7.930453784437753
p1,lu,random_search,igd,5000,12,622,1000,False,0.019631444312394213
p1,lu,random_search,igd,5000,12,622,1000,True,0.019631444312394213
p1,lu,random_search,spread,5000,13,590,0,False,3.1477242823418554
p1,lu,random_search,hypervolume,5000,13,590,0,False,7.93089868272658
p1,lu,random_search,igd,5000,13,590,1000,False,0.01964269039865375
p1,lu,random_search,igd,5000,13,590,1000,True,0.01964269039865375
p1,lu,random_search,spread,5000,14,586,0,False,3.1382084706936677
p1,lu,random_search,hypervolume,5000,14,586,0,False,7.928995546998264
p1,lu,random_search,igd,5000,14,586,1000,False,0.020515071313240367
p1,lu,random_search,igd,5000,14,586,1000,True,0.020515071313240367
p1,lu,random_search,spread,5000,15,608,0,False,3.1677737109883197
p1,lu,random_search,hypervolume,5000,15,608,0,False,7.931944421672824
p1,lu,random_search,igd,5000,15,608,1000,False,0.019207150765443465
p1,lu,random_search,igd,5000,15,608,1000,True,0.019207150765443465
p1,lu,random_search,spread,20000,11,2058,0,False,3.108590259989206
p1,lu,random_search,hypervolume,20000,11,2058,0,False,7.964515082061383
p1,lu,random_search,igd,20000,11,2058,1000,False,0.010028443676598274
p1,lu,random_search,igd,20000,11,2058,1000,True,0.010028443676598274
p1,lu,random_search,spread,20000,12,2141,0,False,3.1574829843000702
p1,lu,random_search,hypervolume,20000,12,2141,0,False,7.965761850643711
p1,lu,random_search,igd,20000,12,2141,1000,False,0.01000415901469058
p1,lu,random_search,igd,20000,12,2141,1000,True,0.01000415901469058
p1,lu,random_search,spread,20000,13,2077,0,False,3.1360740563835807
p1,lu,random_search,hypervolume,20000,13,2077,0,False,7.964494024238256
p1,lu,random_search,igd,20000,13,2077,1000,False,0.009985254958343133
p1,lu,random_search,igd,20000,13,2077,1000,True,0.009985254958343133
p1,lu,random_search,spread,20000,14,2115,0,False,3.1263225546479156
p1,lu,random_search,hypervolume,20000,14,2115,0,False,7.964864632169631
p1,lu,random_search,igd,20000,14,2115,1000,False,0.010017309768035958
p1,lu,random_search,igd,20000,14,2115,1000,True,0.010017309768035958
p1,lu,random_search,spread,20000,15,2035,0,False,3.152212942947746
p1,lu,random_search,hypervolume,20000,15,2035,0,False,7.9653169057973265
p1,lu,random_search,igd,20000,15,2035,1000,False,0.009766308152852624
p1,lu,random_search,igd,20000,15,2035,1000,True,0.009766308152852624
p1,lu,nsga2,spread,5000,11,100,0,False,3.1790447509761313
p1,lu,nsga2,hypervolume,5000,11,100,0,False,7.744516633720684
p1,lu,nsga2,igd,5000,11,100,1000,False,0.05163237255931561
p1,lu,nsga2,igd,5000,11,100,1000,True,0.05163237255931561
p1,lu,nsga2,spread,5000,12,100,0,False,3.1177069327761413
p1,lu,nsga2,hypervolume,5000,12,100,0,False,7.716773529842182
p1,lu,nsga2,igd,5000,12,100,1000,False,0.055217795188469115
p1,lu,nsga2,igd,5000,12,100,1000,True,0.055217795188469115
p1,lu,nsga2,spread,5000,13,100,0,False,3.132764454060783
p1,lu,nsga2,hypervolume,5000,13,100,0,False,7.701438450980822
p1,lu,nsga2,igd,5000,13,100,1000,False,0.05365699126143448
p1,lu,nsga2,igd,5000,13,100,1000,True,0.05365699126143448
p1,lu,nsga2,spread,5000,14,100,0,False,3.140008498400166
p1,lu,nsga2,hypervolume,5000,14,100,0,False,7.716116160672632
p1,lu,nsga2,igd,5000,14,100,1000,False,0.05722803499745189
p1,lu,nsga2,igd,5000,14,100,1000,True,0.05722803499745189
p1,lu,nsga2,spread,5000,15,100,0,False,3.11245711713975
p1,lu,nsga2,hypervolume,5000,15,100,0,False,7.7559201266688245
p1,lu,nsga2,igd,5000,15,100,1000,False,0.05342933638471548
p1,lu,nsga2,igd,5000,15,100,1000,True,0.05342933638471548
p1,lu,nsga2,spread,20000,11,100,0,False,3.159559578472147
p1,lu,nsga2,hypervolume,20000,11,100,0,False,7.754432041966831
p1,lu,nsga2,igd,20000,11,100,1000,False,0.04996878200876748
p1,lu,nsga2,igd,20000,11,100,1000,True,0.04996878200876748
p1,lu,nsga2,spread,20000,12,100,0,False,3.230106750971835
p1,lu,nsga2,hypervolume,20000,12,100,0,False,7.721217136605977
p1,lu,nsga2,igd,20000,12,100,1000,False,0.0587807790979259
p1,lu,nsga2,igd,20000,12,100,1000,True,0.0587807790979259
p1,lu,nsga2,spread,20000,13,100,0,False,3.181975785426708
p1,lu,nsga2,hypervolume,20000,13,100,0,False,7.725672377558336
p1,lu,nsga2,igd,20000,13,100,1000,False,0.05915922201082163
p1,lu,nsga2,igd,20000,13,100,1000,True,0.05915922201082163
p1,lu,nsga2,spread,20000,14,100,0,False,3.1171810511507716
p1,lu,nsga2,hypervolume,20000,14,100,0,False,7.7420491562628975
p1,lu,nsga2,igd,20000,14,100,1000,False,0.05147016773278395
p1,lu,nsga2,igd,20000,14,100,1000,True,0.05147016773278395
