problem,solver,phi,n_evals,seed,cardinality,n_columns,file
p0,mopso,cw,5000,11,1,4,raw/p0_mopso_cw_5000.npz
p0,mopso,cw,5000,12,1,4,raw/p0_mopso_cw_5000.npz
p0,mopso,cw,5000,13,1,4,raw/p0_mopso_cw_5000.npz
p0,mopso,cw,5000,14,1,4,raw/p0_mopso_cw_5000.npz
p0,mopso,cw,5000,15,1,4,raw/p0_mopso_cw_5000.npz
p0,mopso,cw,20000,11,1,4,raw/p0_mopso_cw_20000.npz
p0,mopso,cw,20000,12,1,4,raw/p0_mopso_cw_20000.npz
p0,mopso,cw,20000,13,1,4,raw/p0_mopso_cw_20000.npz
p0,mopso,cw,20000,14,1,4,raw/p0_mopso_cw_20000.npz
p0,mopso,cw,20000,15,1,4,raw/p0_mopso_cw_20000.npz
p0,mopso,ls,5000,11,200,4,raw/p0_mopso_ls_5000.npz
p0,mopso,ls,5000,12,200,4,raw/p0_mopso_ls_5000.npz
p0,mopso,ls,5000,13,200,4,raw/p0_mopso_ls_5000.npz
p0,mopso,ls,5000,14,200,4,raw/p0_mopso_ls_5000.npz
p0,mopso,ls,5000,15,200,4,raw/p0_mopso_ls_5000.npz
p0,mopso,ls,20000,11,200,4,raw/p0_mopso_ls_20000.npz
p0,mopso,ls,20000,12,200,4,raw/p0_mopso_ls_20000.npz
p0,mopso,ls,20000,13,200,4,raw/p0_mopso_ls_20000.npz
p0,mopso,ls,20000,14,200,4,raw/p0_mopso_ls_20000.npz
p0,mopso,ls,20000,15,200,4,raw/p0_mopso_ls_20000.npz
p0,mopso,lu,5000,11,200,4,raw/p0_mopso_lu_5000.npz
p0,mopso,lu,5000,12,200,4,raw/p0_mopso_lu_5000.npz
p0,mopso,lu,5000,13,200,4,raw/p0_mopso_lu_5000.npz
p0,mopso,lu,5000,14,200,4,raw/p0_mopso_lu_5000.npz
p0,mopso,lu,5000,15,200,4,raw/p0_mopso_lu_5000.npz
p0,mopso,lu,20000,11,200,4,raw/p0_mopso_lu_20000.npz
p0,mopso,lu,20000,12,200,4,raw/p0_mopso_lu_20000.npz
p0,mopso,lu,20000,13,200,4,raw/p0_mopso_lu_20000.npz
p0,mopso,lu,20000,14,200,4,raw/p0_mopso_lu_20000.npz
