measurement,problem,phi,column,n_evals,free_set_size,constant_column,defined,n_seeds,median,q1,q3,iqr,mean,standard_deviation,standard_error
m-1_tail_survival_lift,p0,cw,0,5000,1,True,False,0,,,,,,,
m-2_overhang,p0,cw,0,5000,1,True,False,0,,,,,,,
m-1_tail_survival_lift,p0,cw,0,20000,1,True,False,0,,,,,,,
m-2_overhang,p0,cw,0,20000,1,True,False,0,,,,,,,
m-1_tail_survival_lift,p0,cw,1,5000,0,False,True,5,166.66666666666666,166.66666666666666,166.66666666666666,0.0,166.66666666666666,0.0,0.0
m-2_overhang,p0,cw,1,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p0,cw,1,20000,0,False,True,5,666.6666666666666,666.6666666666666,666.6666666666666,0.0,666.6666666666666,0.0,0.0
m-2_overhang,p0,cw,1,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p0,cw,2,5000,0,False,True,5,166.66666666666666,166.66666666666666,166.66666666666666,0.0,166.66666666666666,0.0,0.0
m-2_overhang,p0,cw,2,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p0,cw,2,20000,0,False,True,5,666.6666666666666,666.6666666666666,666.6666666666666,0.0,666.6666666666666,0.0,0.0
m-2_overhang,p0,cw,2,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p0,cw,3,5000,0,False,True,5,166.66666666666666,166.66666666666666,166.66666666666666,0.0,166.66666666666666,0.0,0.0
m-2_overhang,p0,cw,3,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p0,cw,3,20000,0,False,True,5,666.6666666666666,666.6666666666666,666.6666666666666,0.0,666.6666666666666,0.0,0.0
m-2_overhang,p0,cw,3,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
