problem,phi_a,phi_b,status,metric,n_evals,delta,exact,measured_median,error,relative_error
p1,ls,cw,check,coverage_a_in_b,20000,0.0,0.6607634989980261,0.6795853457415478,0.01882184674352172,0.02848499769140236
p1,ls,cw,check,coverage_a_in_b,5000,0.0,0.6607634989980261,0.689275893675527,0.028512394677500885,0.043150680569881264
p1,ls,cw,check,coverage_b_in_a,20000,0.0,1.0,1.0,0.0,0.0
p1,ls,cw,check,coverage_b_in_a,5000,0.0,1.0,1.0,0.0,0.0
p1,ls,cw,check,overlap,20000,0.0,0.7957346116971847,0.8092299060176743,0.01349529432048957,0.01695954168903888
p1,ls,cw,check,overlap,5000,0.0,0.7957346116971847,0.8160607704829083,0.020326158785723525,0.02554389175352172
p1,lu,cw,finding,coverage_a_in_b,20000,0.0,0.39471032990288346,0.5041769041769042,0.10946657427402073,0.2773339484197296
p1,lu,cw,finding,coverage_a_in_b,5000,0.0,0.39471032990288346,0.5559322033898305,0.16122187348694705,0.40845617981828575
p1,lu,cw,finding,coverage_b_in_a,20000,0.0,0.12257050684365489,0.1821515892420538,0.059581082398398905,0.4860964022478727
p1,lu,cw,finding,coverage_b_in_a,5000,0.0,0.12257050684365489,0.2218586387434555,0.0992881318998006,0.8100491256550633
p1,lu,cw,finding,overlap,20000,0.0,0.18705446541151582,0.2658886210833439,0.07883415567182805,0.4214502738461474
p1,lu,cw,finding,overlap,5000,0.0,0.18705446541151582,0.31534883720930235,0.12829437179778652,0.6858663946650065
p1,lu,ls,check,coverage_a_in_b,20000,0.0,1.0,1.0,0.0,0.0
p1,lu,ls,check,coverage_a_in_b,5000,0.0,1.0,1.0,0.0,0.0
p1,lu,ls,check,coverage_b_in_a,20000,0.0,0.20518874435311113,0.24679218131670463,0.041603436963593504,0.20275691580819746
p1,lu,ls,check,coverage_b_in_a,5000,0.0,0.20518874435311113,0.2747747747747748,0.06958603042166367,0.3391318107679067
p1,lu,ls,check,overlap,20000,0.0,0.3405088959128088,0.3958834279118977,0.05537453199908887,0.1626228643767009
p1,lu,ls,check,overlap,5000,0.0,0.3405088959128088,0.43109540636042404,0.09058651044761523,0.26603272788153803
