problem,phi,metric,eps,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
zdt1_interval,lu,coverage_a_in_b,0.0,5000,11,0.05,0.2738612787525831,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,11,0.05,0.2738612787525831,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,11,0.1,0.5477225575051662,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,11,0.1,0.5477225575051662,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,11,0.2,1.0954451150103324,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,11,0.2,1.0954451150103324,5.477225575051661,17,18,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,11,0.3,1.6431676725154982,5.477225575051661,17,18,0.47058823529411764
zdt1_interval,lu,coverage_b_in_a,0.0,5000,11,0.3,1.6431676725154982,5.477225575051661,17,18,0.4444444444444444
zdt1_interval,lu,coverage_a_in_b,0.0,5000,11,0.5,2.7386127875258306,5.477225575051661,17,18,1.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,11,0.5,2.7386127875258306,5.477225575051661,17,18,1.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,12,0.05,0.2738612787525831,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,12,0.05,0.2738612787525831,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,12,0.1,0.5477225575051662,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,12,0.1,0.5477225575051662,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,12,0.2,1.0954451150103324,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,12,0.2,1.0954451150103324,5.477225575051661,18,23,0.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,12,0.3,1.6431676725154982,5.477225575051661,18,23,0.3888888888888889
zdt1_interval,lu,coverage_b_in_a,0.0,5000,12,0.3,1.6431676725154982,5.477225575051661,18,23,0.391304347826087
zdt1_interval,lu,coverage_a_in_b,0.0,5000,12,0.5,2.7386127875258306,5.477225575051661,18,23,1.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,12,0.5,2.7386127875258306,5.477225575051661,18,23,1.0
zdt1_interval,lu,coverage_a_in_b,0.0,5000,13,0.05,0.2738612787525831,5.477225575051661,23,22,0.0
zdt1_interval,lu,coverage_b_in_a,0.0,5000,13,0.05,0.2738612787525831,5.477225575051661,23,22,0.0
