measurement,structure,problem,phi,eps,column,free_set_size,constant_column,n_evals,seed,defined,value,protected_index
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,11,True,3.096458147517026,2164
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,11,True,3.0146216630208027,2164
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,11,True,3.096458147517026,2164
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,11,True,3.0146216630208027,2164
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,11,True,0.0,20
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,11,True,0.0,20
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,11,True,0.0,20
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,11,True,0.0,20
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,12,True,3.1061167794419036,3436
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,12,True,3.10574062133444,3436
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,12,True,3.1061167794419036,3436
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,12,True,3.10574062133444,3436
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,12,True,0.0,3475
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,12,True,0.0,3475
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,12,True,0.0,3475
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,12,True,0.0,3475
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,13,True,3.3969978700080357,110
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,13,True,3.305222990985887,110
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,13,True,3.3969978700080357,110
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,13,True,3.305222990985887,110
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,13,True,0.0,3879
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,13,True,0.0,3879
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,13,True,0.0,3879
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,13,True,0.0,3879
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,14,True,3.081341345101482,3550
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,14,True,2.9248507337840453,3550
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,14,True,3.081341345101482,3550
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,14,True,2.9248507337840453,3550
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,14,True,0.0,1189
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,14,True,0.0,1189
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,14,True,0.0,1189
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,14,True,0.0,1189
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,15,True,3.246411769128465,1152
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,15,True,3.200961193103977,1152
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,15,True,3.246411769128465,1152
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,15,True,3.200961193103977,1152
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,15,True,0.0,1598
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,15,True,0.0,1598
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,15,True,0.0,1598
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,15,True,0.0,1598
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,16,True,2.854024774523449,3279
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,16,True,2.844712637115484,3279
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,16,True,2.854024774523449,3279
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,16,True,2.844712637115484,3279
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,16,True,0.0,6
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,16,True,0.0,6
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,16,True,0.0,6
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,16,True,0.0,6
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,17,True,3.396408084355473,2862
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,17,True,3.363676973739116,2862
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,17,True,3.396408084355473,2862
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,17,True,3.363676973739116,2862
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,17,True,0.0,90
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,17,True,0.0,90
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,17,True,0.0,90
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,17,True,0.0,90
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,18,True,2.8123117656989836,2146
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,18,True,2.7584563570519247,2146
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,18,True,2.8123117656989836,2146
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,18,True,2.7584563570519247,2146
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,18,True,0.0,2221
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,18,True,0.0,2221
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,18,True,0.0,2221
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,18,True,0.0,2221
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,19,True,3.0270651163824978,2777
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,19,True,3.006921571584808,2777
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,19,True,3.0270651163824978,2777
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,19,True,3.006921571584808,2777
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,19,True,0.0,1960
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,19,True,0.0,1960
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,19,True,0.0,1960
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,19,True,0.0,1960
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,20,True,3.2966010793470653,786
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,20,True,3.1885162807617644,786
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,20,True,3.2966010793470653,786
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,20,True,3.1885162807617644,786
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,20,True,0.0,1078
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,20,True,0.0,1078
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,20,True,0.0,1078
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,20,True,0.0,1078
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,21,True,2.9294719983545168,653
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,21,True,2.8474171110030184,653
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,21,True,2.9294719983545168,653
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,21,True,2.8474171110030184,653
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,21,True,0.0,4215
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,21,True,0.0,4215
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,21,True,0.0,4215
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,21,True,0.0,4215
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,22,True,2.6930155303457353,4068
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,22,True,2.6451319714066557,4068
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,22,True,2.6930155303457353,4068
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,22,True,2.6451319714066557,4068
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,22,True,0.0,160
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,22,True,0.0,160
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,22,True,0.0,160
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,22,True,0.0,160
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,23,True,2.7694960956437784,1252
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,0,29,False,5000,23,True,2.735505511919363,1252
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,1,29,False,5000,23,True,2.7694960956437784,1252
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,1,29,False,5000,23,True,2.735505511919363,1252
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,2,0,False,5000,23,True,0.0,3268
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,2,0,False,5000,23,True,0.0,3268
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,3,0,False,5000,23,True,0.0,3268
m-2_overhang,a5b_domination_argument,zdt1_interval,lu,0.0,3,0,False,5000,23,True,0.0,3268
m-2_overhang,registered_x01,zdt1_interval,lu,0.0,0,29,False,5000,24,True,2.887209476806517,3172
