measurement,structure,problem,phi,eps,column,n_evals,free_set_size,constant_column,defined,n_seeds,median,q1,q3,iqr,mean,standard_deviation,standard_error
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,1,5000,12,True,False,0,,,,,,,
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,1,5000,12,True,False,0,,,,,,,
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,3,5000,12,True,False,0,,,,,,,
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,3,5000,12,True,False,0,,,,,,,
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,4,5000,1,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,4,5000,1,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.0,5,5000,12,True,False,0,,,,,,,
m-2_overhang,registered_x01,dtlz2_interval,cw,0.0,5,5000,12,True,False,0,,,,,,,
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,1,5000,11,False,True,20,0.7608599684666172,0.6668828657343023,0.8515822370269683,0.184699371292666,0.7653901120398885,0.1486354875292951,0.03323590539843261
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,1,5000,11,False,True,20,0.842968122183958,0.8119973983624829,0.934471125911961,0.12247372754947816,0.8758262631662042,0.1253780454279646,0.028035383246298555
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,3,5000,11,False,True,20,0.7795862706653198,0.7341737289338229,0.8148758008092344,0.08070207187541145,0.7651034584254316,0.09496127873568234,0.0212339874483291
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,3,5000,11,False,True,20,0.814824325431269,0.7870146733962261,0.8784958599814674,0.09148118658524129,0.8205907782058046,0.09832788754230867,0.02198678406285569
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,4,5000,1,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,4,5000,1,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.05,5,5000,11,False,True,20,0.7370435870360051,0.6341881550756581,0.7986318611162668,0.16444370604060876,0.733756993261274,0.12243585475314823,0.027377489411133018
m-2_overhang,registered_x01,dtlz2_interval,cw,0.05,5,5000,11,False,True,20,0.7924553857571282,0.7093639975387201,0.8619806974860645,0.1526166999473444,0.7807747497933973,0.11799055588653572,0.026383490366528182
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.1,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.1,0,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.1,1,5000,11,False,True,20,0.7608599684666172,0.6668828657343023,0.8515822370269683,0.184699371292666,0.7653901120398885,0.1486354875292951,0.03323590539843261
m-2_overhang,registered_x01,dtlz2_interval,cw,0.1,1,5000,11,False,True,20,0.842968122183958,0.8119973983624829,0.934471125911961,0.12247372754947816,0.8758262631662042,0.1253780454279646,0.028035383246298555
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.1,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,registered_x01,dtlz2_interval,cw,0.1,2,5000,0,False,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-2_overhang,a5b_domination_argument,dtlz2_interval,cw,0.1,3,5000,11,False,True,20,0.7795862706653198,0.7341737289338229,0.8148758008092344,0.08070207187541145,0.7651034584254316,0.09496127873568234,0.0212339874483291
m-2_overhang,registered_x01,dtlz2_interval,cw,0.1,3,5000,11,False,True,20,0.814824325431269,0.7870146733962261,0.8784958599814674,0.09148118658524129,0.8205907782058046,0.09832788754230867,0.02198678406285569
