problem,solver,phi,eps,n_evals,n_seeds,pop_size,n_generations,saturates_in_every_seed,first_saturated_generation,median,q1,q3,iqr
dtlz2_interval,mopso,cw,0.0,5000,5,100,49,False,,44.0,44.0,44.0,0.0
dtlz2_interval,mopso,cw,0.05,5000,5,100,49,True,2.0,159.0,157.0,161.0,4.0
dtlz2_interval,mopso,cw,0.1,5000,5,100,49,True,2.0,159.0,157.0,161.0,4.0
dtlz2_interval,mopso,cw,0.1,20000,5,100,199,True,2.0,164.0,163.0,164.0,1.0
dtlz2_interval,mopso,cw,0.25,5000,5,100,49,True,2.0,159.0,157.0,162.0,5.0
dtlz2_interval,mopso,cw,0.5,5000,5,100,49,True,2.0,159.0,157.0,162.0,5.0
dtlz2_interval,mopso,ls,0.0,5000,5,100,49,False,,44.0,44.0,44.0,0.0
dtlz2_interval,mopso,ls,0.05,5000,5,100,49,True,2.0,165.0,164.0,166.0,2.0
dtlz2_interval,mopso,ls,0.1,5000,5,100,49,True,2.0,167.0,167.0,169.0,2.0
dtlz2_interval,mopso,ls,0.1,20000,5,100,199,True,2.0,171.0,171.0,172.0,1.0
dtlz2_interval,mopso,ls,0.25,5000,5,100,49,True,2.0,171.0,171.0,173.0,2.0
dtlz2_interval,mopso,ls,0.5,5000,5,100,49,True,2.0,177.0,177.0,178.0,1.0
dtlz2_interval,mopso,lu,0.0,5000,5,100,49,False,,44.0,44.0,44.0,0.0
dtlz2_interval,mopso,lu,0.05,5000,5,100,49,True,13.0,105.0,102.0,106.0,4.0
dtlz2_interval,mopso,lu,0.1,5000,5,100,49,True,6.0,103.0,102.0,110.0,8.0
dtlz2_interval,mopso,lu,0.1,20000,5,100,199,True,6.0,107.0,106.0,112.0,6.0
dtlz2_interval,mopso,lu,0.25,5000,5,100,49,True,4.0,112.0,111.0,114.0,3.0
dtlz2_interval,mopso,lu,0.5,5000,5,100,49,True,2.0,125.0,125.0,128.0,3.0
dtlz2_interval,nsga2,cw,0.0,5000,5,100,50,True,11.0,146.0,145.0,147.0,2.0
dtlz2_interval,nsga2,cw,0.05,5000,5,100,50,True,2.0,170.0,168.0,171.0,3.0
dtlz2_interval,nsga2,cw,0.1,5000,5,100,50,True,2.0,170.0,168.0,171.0,3.0
dtlz2_interval,nsga2,cw,0.1,20000,5,100,200,True,2.0,171.0,169.0,171.0,2.0
dtlz2_interval,nsga2,cw,0.25,5000,5,100,50,True,2.0,170.0,168.0,171.0,3.0
dtlz2_interval,nsga2,cw,0.5,5000,5,100,50,True,2.0,170.0,168.0,171.0,3.0
dtlz2_interval,nsga2,ls,0.0,5000,5,100,50,True,11.0,146.0,145.0,147.0,2.0
dtlz2_interval,nsga2,ls,0.05,5000,5,100,50,True,2.0,174.0,173.0,175.0,2.0
dtlz2_interval,nsga2,ls,0.1,5000,5,100,50,True,2.0,175.0,174.0,177.0,3.0
dtlz2_interval,nsga2,ls,0.1,20000,5,100,200,True,2.0,176.0,175.0,176.0,1.0
dtlz2_interval,nsga2,ls,0.25,5000,5,100,50,True,2.0,179.0,179.0,180.0,1.0
dtlz2_interval,nsga2,ls,0.5,5000,5,100,50,True,2.0,182.0,182.0,184.0,2.0
