problem,solver,phi,eps,n_evals,seed,cardinality,n_columns,file
dtlz2_interval,mopso,cw,0.0,5000,11,123,6,raw/dtlz2_interval_mopso_cw_0.0_5000.npz
dtlz2_interval,mopso,cw,0.0,5000,12,107,6,raw/dtlz2_interval_mopso_cw_0.0_5000.npz
dtlz2_interval,mopso,cw,0.0,5000,13,109,6,raw/dtlz2_interval_mopso_cw_0.0_5000.npz
dtlz2_interval,mopso,cw,0.0,5000,14,109,6,raw/dtlz2_interval_mopso_cw_0.0_5000.npz
dtlz2_interval,mopso,cw,0.0,5000,15,115,6,raw/dtlz2_interval_mopso_cw_0.0_5000.npz
dtlz2_interval,mopso,cw,0.05,5000,11,200,6,raw/dtlz2_interval_mopso_cw_0.05_5000.npz
dtlz2_interval,mopso,cw,0.05,5000,12,200,6,raw/dtlz2_interval_mopso_cw_0.05_5000.npz
dtlz2_interval,mopso,cw,0.05,5000,13,200,6,raw/dtlz2_interval_mopso_cw_0.05_5000.npz
dtlz2_interval,mopso,cw,0.05,5000,14,200,6,raw/dtlz2_interval_mopso_cw_0.05_5000.npz
dtlz2_interval,mopso,cw,0.05,5000,15,200,6,raw/dtlz2_interval_mopso_cw_0.05_5000.npz
dtlz2_interval,mopso,cw,0.1,5000,11,200,6,raw/dtlz2_interval_mopso_cw_0.1_5000.npz
dtlz2_interval,mopso,cw,0.1,5000,12,200,6,raw/dtlz2_interval_mopso_cw_0.1_5000.npz
dtlz2_interval,mopso,cw,0.1,5000,13,200,6,raw/dtlz2_interval_mopso_cw_0.1_5000.npz
dtlz2_interval,mopso,cw,0.1,5000,14,200,6,raw/dtlz2_interval_mopso_cw_0.1_5000.npz
dtlz2_interval,mopso,cw,0.1,5000,15,200,6,raw/dtlz2_interval_mopso_cw_0.1_5000.npz
dtlz2_interval,mopso,cw,0.1,20000,11,200,6,raw/dtlz2_interval_mopso_cw_0.1_20000.npz
dtlz2_interval,mopso,cw,0.1,20000,12,200,6,raw/dtlz2_interval_mopso_cw_0.1_20000.npz
dtlz2_interval,mopso,cw,0.1,20000,13,200,6,raw/dtlz2_interval_mopso_cw_0.1_20000.npz
dtlz2_interval,mopso,cw,0.1,20000,14,200,6,raw/dtlz2_interval_mopso_cw_0.1_20000.npz
dtlz2_interval,mopso,cw,0.1,20000,15,200,6,raw/dtlz2_interval_mopso_cw_0.1_20000.npz
dtlz2_interval,mopso,cw,0.25,5000,11,200,6,raw/dtlz2_interval_mopso_cw_0.25_5000.npz
dtlz2_interval,mopso,cw,0.25,5000,12,200,6,raw/dtlz2_interval_mopso_cw_0.25_5000.npz
dtlz2_interval,mopso,cw,0.25,5000,13,200,6,raw/dtlz2_interval_mopso_cw_0.25_5000.npz
dtlz2_interval,mopso,cw,0.25,5000,14,200,6,raw/dtlz2_interval_mopso_cw_0.25_5000.npz
dtlz2_interval,mopso,cw,0.25,5000,15,200,6,raw/dtlz2_interval_mopso_cw_0.25_5000.npz
dtlz2_interval,mopso,cw,0.5,5000,11,200,6,raw/dtlz2_interval_mopso_cw_0.5_5000.npz
dtlz2_interval,mopso,cw,0.5,5000,12,200,6,raw/dtlz2_interval_mopso_cw_0.5_5000.npz
dtlz2_interval,mopso,cw,0.5,5000,13,200,6,raw/dtlz2_interval_mopso_cw_0.5_5000.npz
