# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
dtlz2_interval,cw,mopso,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.040868897197232454,0.03900208090643806,0.04112848722607832,0.002126406319640263
dtlz2_interval,cw,mopso,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.036000037074068375,0.03482494030671793,0.03915830371809221,0.004333363411374282
dtlz2_interval,cw,mopso,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,3.9836474089926517,3.8996871887409914,4.030460112395338,0.13077292365434667
dtlz2_interval,cw,mopso,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,3.942811675187412,3.8554995151577764,3.9617951765589217,0.10629566140114521
dtlz2_interval,cw,nsga2,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.0400449925998357,0.039842527919727595,0.04083224390873386,0.000989715989006268
dtlz2_interval,cw,nsga2,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.03601544783283202,0.03492299405396472,0.036696299019918055,0.0017733049659533345
dtlz2_interval,cw,nsga2,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,4.897687133926021,4.81327798424326,4.932406623211554,0.11912863896829418
dtlz2_interval,cw,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,4.666495334373726,4.652691835889162,4.82896886967487,0.17627703378570736
dtlz2_interval,cw,random_search,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.037786846218132164,0.037196425997866475,0.03792115724110722,0.0007247312432407463
dtlz2_interval,cw,random_search,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,0.035566872176969626,0.03541054874431167,0.036087777256952606,0.0006772285126409386
dtlz2_interval,cw,random_search,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,3.7131416105452337,3.6774374986665626,3.7644763600269457,0.08703886136038319
dtlz2_interval,cw,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.2935855273971284 0.11000000000000001 3.403830111939641 0.11000000000000001 3.3237676005364625 0.11000000000000001,3.566338820358918,3.5292797384045858,3.623086788559931,0.09380705015534518
